# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
D9C73_000094	gene-D9C73_000094	rna-gnl|WGS:SCMI|mrna_D9C73_000094	protein_coding	0	0	1	1	0	0	0	0
D9C73_000095	gene-D9C73_000095	rna-gnl|WGS:SCMI|mrna_D9C73_000095	protein_coding	0	0	2	2	0	0	0	0
D9C73_000212	gene-D9C73_000212	rna-gnl|WGS:SCMI|mrna_D9C73_000212	protein_coding	0	0	6	0	4	0	0	2
D9C73_000219	gene-D9C73_000219	rna-gnl|WGS:SCMI|mrna_D9C73_000219	protein_coding	0	0	2	2	0	0	0	0
D9C73_000226	gene-D9C73_000226	rna-gnl|WGS:SCMI|mrna_D9C73_000226	protein_coding	0	0	4	0	4	0	0	0
D9C73_000228	gene-D9C73_000228	rna-gnl|WGS:SCMI|mrna_D9C73_000228	protein_coding	0	0	3	0	0	0	0	3
D9C73_000229	gene-D9C73_000229	rna-gnl|WGS:SCMI|mrna_D9C73_000229	protein_coding	0	0	2	0	0	0	0	2
D9C73_000230	gene-D9C73_000230	rna-gnl|WGS:SCMI|mrna_D9C73_000230	protein_coding	0	0	6	0	0	0	0	6
D9C73_000254	gene-D9C73_000254	rna-gnl|WGS:SCMI|mrna_D9C73_000254	protein_coding	0	0	1	0	0	0	0	1
D9C73_000406	gene-D9C73_000406	rna-gnl|WGS:SCMI|mrna_D9C73_000406	protein_coding	0	0	3	3	0	0	0	0
D9C73_000433	gene-D9C73_000433	rna-gnl|WGS:SCMI|mrna_D9C73_000433	protein_coding	0	0	1	1	0	0	0	0
D9C73_000457	gene-D9C73_000457	rna-gnl|WGS:SCMI|mrna_D9C73_000457	protein_coding	0	0	2	2	0	0	0	0
D9C73_000467	gene-D9C73_000467	rna-gnl|WGS:SCMI|mrna_D9C73_000467	protein_coding	0	0	1	0	0	0	0	1
D9C73_000503	gene-D9C73_000503	rna-gnl|WGS:SCMI|mrna_D9C73_000503	protein_coding	0	0	1	0	0	0	0	1
D9C73_000577	gene-D9C73_000577	rna-gnl|WGS:SCMI|mrna_D9C73_000577	protein_coding	0	0	2	2	0	0	0	0
D9C73_000581	gene-D9C73_000581	rna-gnl|WGS:SCMI|mrna_D9C73_000581	protein_coding	0	0	1	0	1	0	0	0
D9C73_000639	gene-D9C73_000639	rna-gnl|WGS:SCMI|mrna_D9C73_000639	protein_coding	0	0	2	2	0	0	0	0
